family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,oracle_K,gate_K,cv_K
additive,200,0.518798676752363,0.505351192642935,0.486329507862283,0.49739190610862,2,1,3.0
additive,300,0.595529559076648,0.595529559076648,0.593427304703869,0.556151794367118,1,1,2.0
additive,300,0.492116046041571,0.492116046041571,,,1,1,5.0
additive,300,0.68382515442639,0.64753082777745,0.640519264673382,0.644354799193193,5,1,2.0
additive,300,0.742902242902243,0.742902242902243,0.742902242902243,0.72037072037072,1,1,1.0
additive,300,0.584560791308967,0.564966150072182,0.564966150072182,0.548815527647693,2,1,1.0
additive,200,0.807252032520325,0.764322701688555,0.76519124452783,0.76519124452783,2,5,4.0
additive,200,0.516894689468947,0.516894689468947,0.512979797979798,0.512979797979798,1,1,3.0
additive,200,0.864877150135166,0.827749157648075,0.864877150135166,0.864877150135166,4,2,4.0
additive,200,0.878907972699318,0.878907972699318,0.878907972699318,0.830801270031751,5,5,5.0
additive,300,0.557601057601058,0.557529557529558,0.555873555873556,0.555873555873556,5,1,3.0
additive,500,0.653192177097104,0.634465025003227,0.568007577524015,0.58599519049387,2,1,3.0
additive,500,0.939194069929846,0.939194069929846,0.9164900811993,0.905086561895958,5,5,3.0
additive,500,0.879104911944207,0.848851139660257,0.773241959177633,0.773241959177633,3,5,4.0
additive,500,0.780395877006289,0.698673608999696,0.742297390824279,0.742297390824279,3,5,4.0
additive,500,0.767557528284073,0.767557528284073,0.767557528284073,0.758899281496536,5,5,5.0
additive,500,0.844283636610972,0.816250960245823,0.822062948114717,0.822062948114717,2,5,4.0
additive,500,0.81664229617108,0.81664229617108,0.81664229617108,0.781317588091585,5,5,5.0
additive,500,0.739484083788228,0.726898192226544,0.707180128236641,0.707180128236641,3,5,4.0
additive,500,0.756546755821646,0.745425402763724,0.745425402763724,0.756546755821646,4,5,5.0
additive,500,0.902953561134538,0.883897827082275,0.902953561134538,0.888497832492278,3,5,3.0
additive,500,0.826726464843652,0.826726464843652,0.826726464843652,0.781952338139389,5,5,5.0
additive,500,0.848990335381464,0.847006708429339,0.825832353270609,0.825832353270609,2,5,4.0
additive,500,0.610447246314899,0.533042315865266,0.610447246314899,0.577059460023205,5,1,5.0
additive,500,0.552129351740696,0.512302420968387,0.552129351740696,0.530384653861545,2,5,2.0
additive,500,0.867121212121212,0.824726472647265,0.826837183718372,0.826837183718372,2,5,4.0
additive,500,0.737898608747873,0.676479331398258,0.693280952857572,0.693280952857572,2,5,4.0
additive,1000,0.620629381121567,0.53841583445362,0.537842187600026,0.620629381121567,4,5,2.0
additive,500,0.771459085836343,0.748260493041972,0.771459085836343,0.755708022832091,3,1,3.0
additive,500,0.761621213985163,0.761621213985163,0.750253292806484,0.750253292806484,1,1,4.0
additive,500,0.77725611971127,0.76239328470455,0.76239328470455,0.77725611971127,4,1,1.0
additive,1000,0.793179329483237,0.778412460311508,0.793179329483237,0.785164129103228,2,1,2.0
additive,300,0.688212094653813,0.642895161258049,0.688212094653813,0.625493238727544,2,5,2.0
additive,200,0.7515545,0.7515545,0.7515545,0.7086145,5,5,5.0
additive,200,0.688521056101253,0.644197055136904,0.637542652897696,0.614198725739992,2,1,5.0
additive,200,0.757879654724485,0.675256791647957,0.700279443838604,0.6716083857207,3,1,2.0
additive,500,0.816017597425391,0.707932842560247,0.649410602258783,0.717406609935405,1,2,3.0
additive,500,0.867975050403226,0.866142933147722,0.867975050403226,0.867975050403226,4,5,4.0
additive,500,0.849468287314926,0.737904661864746,0.819457783113245,0.819457783113245,3,5,4.0
additive,500,0.510603107389857,0.491679207223361,0.48786400966957,0.510603107389857,4,1,3.0
additive,500,0.668597697563161,0.668597697563161,0.632412618601898,0.620435426966832,1,1,5.0
additive,500,0.570876297686054,0.551413133208255,0.538783239524703,0.549033646028768,5,1,2.0
additive,200,0.630197754943874,0.630197754943874,0.524951123778094,0.552731318282957,5,5,3.0
additive,200,0.582294532432089,0.581297483576695,0.555685728600701,0.555685728600701,3,5,4.0
additive,500,0.765597057023177,0.75551958183804,0.757577485187097,0.729638509147793,3,1,2.0
additive,500,0.754718689924955,0.738466341963291,0.728457045185941,0.730377945522286,2,1,3.0
additive,500,0.689452124935996,0.689452124935996,0.685272357430876,0.685272357430876,1,1,4.0
additive,1000,0.66134,0.66134,0.5887845,0.5887845,5,5,4.0
additive,1000,0.864477507439174,0.828041309294591,0.828041309294591,0.855171913680578,3,2,2.0
additive,1000,0.823191408722678,0.805613750523755,0.820146881321932,0.823191408722678,4,5,3.0
additive,1000,0.806746649781787,0.806746649781787,0.770481169057858,0.770481169057858,5,5,4.0
additive,500,0.606518317172299,0.606518317172299,0.606518317172299,0.557594686059908,5,5,5.0
additive,200,0.688154761904762,0.600237094837935,0.610912865146058,0.631690676270508,3,5,2.0
additive,200,0.565172384823415,0.565172384823415,0.516855427181514,0.564910847161991,1,1,5.0
additive,200,0.819320867353527,0.777140331858916,0.819320867353527,0.819320867353527,2,1,3.0
additive,200,0.621571945151122,0.621571945151122,0.608769740315845,0.614234327749244,1,1,5.0
additive,300,0.912835228926217,0.841615739171219,0.841615739171219,0.865066888277526,3,5,5.0
