family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
radial,500,0.843528679549423,0.843528679549423,0.591768707551614,0.616322573942025,0.843528679549423,6,6,5.0
bump,500,0.94337141308446,0.822957659570425,0.940026142117512,0.942568348036191,0.822957659570425,1,6,3.0
bump,200,0.948064260783285,0.948064260783285,0.826693928573937,0.826693928573937,0.948064260783285,6,6,5.0
s_shaped,1000,0.80675153082501,0.80675153082501,0.750791788797651,0.750791788797651,0.669091785497489,5,5,4.0
radial,500,0.94005965682771,0.94005965682771,0.94005965682771,0.856358993099686,0.94005965682771,6,6,6.0
radial,500,0.711213015826218,0.711213015826218,0.711213015826218,,0.711213015826218,6,6,6.0
linear,500,0.785895785895786,0.785895785895786,0.785895785895786,0.749350249350249,0.785895785895786,6,6,6.0
s_shaped,200,0.62845348683499,0.62845348683499,0.62845348683499,0.608693954069677,0.62845348683499,6,6,6.0
additive,500,0.85016937049383,0.837882883828943,0.806572595284029,0.84848916718923,0.806572595284029,3,5,6.0
random,1000,0.884874889348187,0.884874889348187,0.856174245583222,0.83283512804462,0.856174245583222,1,1,6.0
bump,500,0.816159133447174,0.814222934479347,0.582078130205004,0.816159133447174,0.582078130205004,4,5,6.0
additive,500,0.798390968299435,0.788399529532253,0.769839856939399,0.757636599670353,0.788399529532253,1,6,3.0
additive,500,0.772534360549769,0.716221959551353,0.772534360549769,0.716221959551353,0.62370897934367,1,4,1.0
s_shaped,1000,0.901385922174755,0.901385922174755,0.589988439815037,0.792994187907006,0.589988439815037,5,5,6.0
random,500,0.825018659259649,0.815121491013188,0.658154265176085,0.74647768514507,0.768297209276588,3,5,1.0
random,500,0.922381203139497,0.922381203139497,,0.911444118458337,0.922381203139497,6,6,
additive,1000,0.854230908193791,0.851227382228454,0.851227382228454,0.851227382228454,0.841741904942056,2,4,4.0
cross,500,0.602767465066846,0.562093260471387,0.562093260471387,0.525141197711031,0.602767465066846,6,5,5.0
random,500,0.886852044954235,0.856382806163828,0.886852044954235,0.811106476653922,0.886852044954235,6,5,6.0
radial,500,0.739481313131313,0.739251515151515,0.739251515151515,0.738215656565657,0.739251515151515,1,6,6.0
additive,500,0.839947157410713,0.823035828755609,0.839947157410713,0.823526352791287,0.839947157410713,6,5,6.0
bump,300,0.735771345357365,0.735771345357365,0.735771345357365,0.691131801274415,0.735771345357365,6,6,6.0
radial,1000,0.68258403451654,0.68258403451654,0.68258403451654,0.67327275894758,0.68258403451654,6,6,6.0
additive,1000,0.893942181918549,0.879225152105476,0.879225152105476,0.863198575148705,0.893942181918549,6,5,5.0
radial,500,0.730921777531947,0.730921777531947,0.730921777531947,0.519637377688225,0.730921777531947,6,6,6.0
random,300,0.67986702914061,0.67986702914061,,,0.67986702914061,6,6,4.0
random,200,0.572122897325122,0.552716242301682,0.552716242301682,0.572122897325122,0.552716242301682,2,6,6.0
s_shaped,200,0.661858918256608,0.661858918256608,0.509121552349279,0.518567677727489,0.661858918256608,6,6,5.0
random,1000,0.832681909225062,0.818132890518087,0.818132890518087,0.818132890518087,0.799068206456045,1,4,4.0
radial,500,0.808110307414105,0.808110307414105,0.808110307414105,0.743147227245329,0.808110307414105,6,6,6.0
additive,1000,0.680183315929922,0.680183315929922,0.680183315929922,0.585008661697693,0.680183315929922,6,6,6.0
linear,200,0.887910164065626,0.887910164065626,0.82921318527411,0.838542917166867,0.887910164065626,6,6,3.0
radial,500,0.612244002707242,0.612244002707242,0.612244002707242,0.562908906324418,0.612244002707242,6,6,6.0
enclave,500,0.693478295713639,0.693478295713639,0.66676317023229,0.664543755184145,0.693478295713639,6,6,3.0
bump,200,0.650710963534919,0.650710963534919,0.576727336755509,0.56687599231261,0.650710963534919,6,6,1.0
additive,200,0.747499108969969,0.694802191333181,0.694802191333181,0.747499108969969,0.694802191333181,4,6,6.0
radial,500,0.813988613677964,0.788878842676311,0.813988613677964,0.690841863397316,0.788878842676311,1,6,1.0
s_shaped,500,0.921064737035793,0.921064737035793,0.921064737035793,0.789964139426231,0.761024176386822,5,5,5.0
s_shaped,500,0.660155561607844,0.65754367660488,0.660155561607844,0.632859686153255,0.573031649017126,2,1,3.0
additive,500,0.843423494775916,0.843423494775916,0.820874633994144,0.820874633994144,0.714751436022976,5,5,4.0
linear,500,0.617785001625366,0.617785001625366,0.617785001625366,0.473146457953039,0.617785001625366,6,6,6.0
radial,500,0.662644076498524,0.662644076498524,0.662644076498524,,0.662644076498524,6,6,6.0
s_shaped,300,0.712515668112338,0.712515668112338,0.712515668112338,0.553017287984911,0.712515668112338,6,6,6.0
cross,500,0.964137214137214,0.964137214137214,0.866981921895217,0.866981921895217,0.728267618441029,5,5,4.0
s_shaped,200,0.672413310066598,0.672413310066598,0.529769147028688,0.637808377625512,0.672413310066598,6,6,3.0
random,500,0.725060070707109,0.725060070707109,0.725060070707109,0.647815018877559,0.725060070707109,6,6,6.0
cross,200,0.640594769120806,0.640594769120806,0.640594769120806,0.570497126590234,0.640594769120806,6,6,6.0
radial,300,0.614093026526087,0.614093026526087,0.614093026526087,0.544207171498702,0.614093026526087,6,6,6.0
enclave,1000,0.949523545711911,0.949523545711911,0.949523545711911,0.880644925804332,0.949523545711911,6,6,6.0
enclave,300,0.83199103974113,0.83199103974113,0.83199103974113,0.785205820061822,0.83199103974113,6,6,6.0
enclave,300,0.731397925591702,0.731397925591702,0.731397925591702,0.59247936991748,0.731397925591702,6,6,6.0
cross,500,0.83123930557268,0.728743713656489,0.728743713656489,0.769109131023588,0.728743713656489,5,6,6.0
additive,200,0.817338881999762,0.672358453459359,0.751266815391744,0.751266815391744,0.672358453459359,5,6,4.0
cross,500,0.601786046511628,0.601786046511628,0.597861973601509,0.597861973601509,0.601786046511628,6,6,2.0
random,200,0.897447154765928,0.719042187676017,0.865651000177022,0.865651000177022,0.719042187676017,3,6,4.0
bump,500,0.854875222174185,0.81930133224448,0.81930133224448,0.838384293285936,0.81930133224448,3,6,6.0
bump,500,0.971040228740875,0.971040228740875,0.971040228740875,0.951118943454063,0.899787806422632,5,5,5.0
bump,200,0.815244287880425,0.692627755039988,0.807686306516077,0.807686306516077,0.692627755039988,1,6,2.0
enclave,1000,0.939109698728856,0.799228305474927,0.812508757882094,0.886829646682014,0.799228305474927,2,6,3.0
bump,200,0.820836134050317,0.820836134050317,0.820836134050317,0.785627620670892,0.820836134050317,6,6,6.0
cross,500,0.838306458261199,0.838306458261199,0.802269336037328,0.802269336037328,0.65126399399845,1,1,5.0
cross,500,0.582777649228353,0.582777649228353,0.517900090051376,0.517900090051376,0.582777649228353,6,6,5.0
additive,200,0.679378255550254,0.585117227319062,0.525458690587302,0.679378255550254,0.585117227319062,4,6,1.0
radial,300,0.733328040647825,0.733328040647825,0.733328040647825,0.611102808859333,0.733328040647825,6,6,6.0
additive,500,0.890306918571154,0.870059235164202,0.870059235164202,0.796543915242302,0.774753336854235,3,5,5.0
bump,500,0.683489243311572,0.610426067268305,0.528319812467998,0.683489243311572,0.652876784114183,4,5,2.0
radial,500,0.791607163027868,0.791607163027868,0.71852459214794,0.714984629907537,0.791607163027868,6,6,2.0
random,300,0.694469385868776,0.669556204032588,0.523037623405033,0.523201026412968,0.669556204032588,5,6,2.0
s_shaped,300,0.764473203862463,0.662212010221807,0.562811658797052,0.60914877783617,0.764473203862463,6,5,1.0
cross,200,0.586731366296282,0.528137526286103,0.521564873451011,0.586731366296282,0.528137526286103,4,6,2.0
s_shaped,500,0.996380322635809,0.982173126483198,0.967000383018768,0.996380322635809,0.862020238991711,4,5,3.0
s_shaped,200,0.816361125251145,0.565920839588007,0.565920839588007,0.738517319902912,0.565920839588007,5,6,6.0
s_shaped,1000,0.970522020683914,0.938812756147541,0.957056764696465,0.957056764696465,0.727620109182889,2,5,4.0
radial,200,0.83158144639568,0.83158144639568,0.83158144639568,0.650388654331532,0.83158144639568,6,6,6.0
random,1000,0.941409822224504,0.881905154976111,0.908118424815452,0.914824680950022,0.941409822224504,6,5,3.0
enclave,1000,0.649719177938114,0.649719177938114,0.602870425184736,0.61208291137402,0.649719177938114,6,6,5.0
radial,1000,0.921756149862437,0.903445361529194,0.903445361529194,0.903940991890094,0.903445361529194,3,6,6.0
radial,500,0.90489728170662,0.90489728170662,0.90489728170662,,0.90489728170662,6,6,6.0
radial,200,0.659494188312238,0.558445161727579,0.645359968823599,0.618182280282621,0.558445161727579,2,6,5.0
radial,300,0.55581769936318,0.482834100321429,0.460109455699402,0.533195388042763,0.482834100321429,5,6,1.0
cross,1000,0.96003843053189,0.95062833232562,0.957567241979516,0.96003843053189,0.923632486853918,4,5,3.0
bump,300,0.89479289597303,0.889078904827539,0.89479289597303,0.89479289597303,0.672017809114559,4,5,4.0
radial,1000,0.829636544885968,0.829636544885968,0.829636544885968,0.79269762724405,0.829636544885968,6,6,6.0
cross,300,0.920330260356287,0.80170637981442,0.918916359907811,0.826148555962515,0.80170637981442,2,6,3.0
cross,200,0.541388231543583,0.442417572985765,0.541388231543583,0.541388231543583,0.442417572985765,4,6,4.0
additive,1000,0.855918150167378,0.75998493745443,0.75998493745443,0.855918150167378,0.701606571510585,4,5,5.0
bump,200,0.85560039000975,0.85560039000975,0.85560039000975,0.740680517012925,0.85560039000975,6,6,6.0
bump,500,0.952646218658857,0.83754215826302,0.83754215826302,0.899326768046537,0.83754215826302,3,6,6.0
radial,200,0.895285351108976,0.895285351108976,0.895285351108976,0.709620716230283,0.895285351108976,6,6,6.0
bump,1000,0.995963208788923,0.990171573628431,0.990171573628431,0.98781211117379,0.795186856623898,3,5,5.0
random,300,0.509034030027219,0.502648891266137,0.496434421686599,0.496434421686599,0.502648891266137,1,6,4.0
s_shaped,500,0.744717935445557,0.71743738363508,0.59324040190036,0.744717935445557,0.59324040190036,4,5,6.0
linear,500,0.598188446029016,0.593687821303491,0.582629329187837,0.593687821303491,0.582629329187837,5,4,6.0
enclave,1000,0.812261615811373,0.808598651839377,0.744583725480483,0.744583725480483,0.812261615811373,6,5,4.0
additive,500,0.829754165014281,0.829754165014281,0.829754165014281,0.782083829049147,0.744135531707786,5,5,5.0
cross,300,0.754463793065395,0.754463793065395,0.514790253127356,0.497427605297426,0.754463793065395,6,6,2.0
random,500,0.838599537037037,0.772390297906602,0.814694545088567,0.838599537037037,0.772390297906602,4,6,5.0
s_shaped,500,0.77395069000589,0.666561991521313,0.666561991521313,0.619361668295132,0.666561991521313,1,6,6.0
additive,500,0.783955098877472,0.783955098877472,0.603662091552289,0.755929898247456,0.603662091552289,5,5,6.0
radial,1000,0.824408164795412,0.824408164795412,0.824408164795412,0.809490189707993,0.626529961950104,5,5,5.0
radial,500,0.864331373463704,0.864331373463704,0.864331373463704,0.747595387763208,0.864331373463704,6,6,6.0
bump,300,0.716408651383197,0.716408651383197,,,0.716408651383197,6,6,5.0
linear,500,0.916297377143681,0.916297377143681,0.869296028086019,0.871647871931594,0.86917243118605,5,5,3.0
random,300,0.865474450203166,0.794335109274763,0.794335109274763,0.815260310326636,0.794335109274763,5,6,6.0
enclave,300,0.813471338952616,0.5494501197615,0.5494501197615,0.813471338952616,0.5494501197615,4,6,6.0
enclave,500,0.735678565483815,0.735678565483815,0.735678565483815,0.647206119687068,0.735678565483815,6,6,6.0
enclave,500,0.780438897959878,0.780438897959878,,,0.780438897959878,6,6,5.0
random,500,0.585669752562676,0.574894256211073,0.425206302518368,0.425206302518368,0.574894256211073,3,6,4.0
s_shaped,200,0.476280350948786,0.444145052430276,0.444145052430276,0.476280350948786,0.444145052430276,2,6,6.0
linear,300,0.725163244752615,0.716165155983874,0.715515577384864,0.725163244752615,0.715515577384864,4,5,6.0
enclave,1000,0.914329855804372,0.914329855804372,0.914329855804372,0.729025807362615,0.914329855804372,6,6,6.0
additive,500,0.741737585991245,0.705041651031895,0.630284427767355,0.741737585991245,0.738881801125704,4,5,3.0
cross,500,0.893487262933453,0.871105375378745,0.893487262933453,0.891449893390192,0.620703624733476,1,3,1.0
enclave,200,0.702788104863051,0.702788104863051,0.60815147023926,0.60815147023926,0.702788104863051,6,6,4.0
s_shaped,200,0.807375229500918,0.690351761407046,0.690351761407046,0.646806087224349,0.690351761407046,1,6,6.0
cross,500,0.548525829552682,0.548525829552682,0.548525829552682,0.510074520318616,0.548525829552682,6,6,6.0
radial,300,0.545740625,0.545740625,0.493559375,0.493559375,0.545740625,6,6,2.0
s_shaped,200,0.561319791466462,0.561319791466462,,,0.561319791466462,6,6,2.0
cross,1000,0.965869914962078,0.965869914962078,0.947302535815521,0.965869914962078,0.575250644807069,4,4,5.0
random,500,0.583711167086482,0.519429051217464,0.422837951301427,0.583711167086482,0.519429051217464,4,6,5.0
cross,200,0.727308402266628,0.511488498842289,0.727308402266628,0.642237351488453,0.511488498842289,3,6,3.0
radial,500,0.625339940387308,0.625339940387308,0.625339940387308,,0.625339940387308,6,6,6.0
additive,200,0.815183683206107,0.766306570338059,0.766306570338059,0.812587702065559,0.766306570338059,1,6,6.0
enclave,300,0.877118428233582,0.877118428233582,0.877118428233582,0.796919358611191,0.877118428233582,6,6,6.0
linear,200,0.938424938424938,0.797101797101797,0.938424938424938,0.894643394643395,0.797101797101797,5,6,5.0
linear,200,0.876458888129993,0.860503744533701,0.860503744533701,0.876458888129993,0.860503744533701,4,6,6.0
cross,300,0.650828924162257,0.650828924162257,0.650828924162257,0.539560639070443,0.650828924162257,6,6,6.0
radial,200,0.748438053646762,0.748438053646762,0.748438053646762,0.486694306732042,0.748438053646762,6,6,6.0
enclave,500,0.755488928918333,0.755488928918333,0.755488928918333,0.713932151094779,0.755488928918333,6,6,6.0
enclave,500,0.7552110480722,0.607755019963804,0.607755019963804,0.667806002447079,0.607755019963804,2,6,6.0
enclave,300,0.83506348377038,0.83506348377038,0.83506348377038,0.616726584398998,0.83506348377038,6,6,6.0
bump,200,0.869944271975164,0.780499391912435,0.769278776143765,0.769278776143765,0.780499391912435,5,6,4.0
radial,500,0.753329131481611,0.753329131481611,0.753329131481611,0.558064065880382,0.753329131481611,6,6,6.0
linear,1000,0.974636474636475,0.947517947517947,0.968320468320468,0.947517947517947,0.931063931063931,2,4,1.0
radial,200,0.646036386543811,0.646036386543811,0.503382679792204,0.503382679792204,0.646036386543811,6,6,5.0
cross,1000,0.639177412362611,0.639177412362611,0.616081451737228,0.615471008607248,0.639177412362611,6,6,2.0
cross,200,0.695787988364877,0.695787988364877,0.695787988364877,0.518899563278405,0.695787988364877,6,6,6.0
s_shaped,200,0.735097354018979,0.612177153510105,0.612177153510105,0.735097354018979,0.612177153510105,2,6,6.0
cross,500,0.84711790647987,0.761377218037676,0.844632202850575,0.769355659384723,0.761377218037676,5,6,2.0
radial,500,0.877635312573767,0.818242731528838,0.740920558265796,0.795506014438587,0.753725214414982,3,5,2.0
additive,200,0.858670412134837,0.840684764651527,0.840684764651527,0.769093687372745,0.817255421195163,3,5,5.0
radial,200,0.659703720828534,0.659703720828534,0.659703720828534,0.543307536220177,0.659703720828534,6,6,6.0
bump,1000,0.943342007807026,0.813595235712141,0.871953758382544,0.938420578520669,0.813595235712141,2,6,5.0
cross,300,0.514185034951404,0.511466090054751,0.500383827402262,0.497720145613265,0.511466090054751,2,6,3.0
cross,500,0.930685102469785,0.930685102469785,0.930685102469785,0.772940164965093,0.930685102469785,6,6,6.0
enclave,500,0.761821279711614,0.635349277426415,0.761821279711614,0.718531739326349,0.761821279711614,6,5,6.0
enclave,300,0.601415024303931,0.454119482977009,0.601415024303931,0.556823685657558,0.454119482977009,2,6,2.0
cross,500,0.798940636300515,0.723722101148263,0.798940636300515,0.717295482001453,0.798940636300515,6,5,6.0
cross,1000,0.581166921958234,0.573919393088885,,,0.581166921958234,6,1,4.0
random,300,0.90517895954779,0.90517895954779,0.90517895954779,0.869096283410536,0.90517895954779,6,6,6.0
random,1000,0.927360924785607,0.927360924785607,0.850500260752478,0.864952513319435,0.927360924785607,6,6,1.0
additive,500,0.843409715985631,0.843409715985631,0.631988100583745,0.815067415324909,0.631988100583745,5,5,6.0
cross,1000,0.759597373469329,0.732926420992528,0.741266806058191,0.711953507860285,0.595845365779518,5,1,3.0
radial,300,0.842720211201951,0.842720211201951,0.842720211201951,,0.842720211201951,6,6,6.0
random,200,0.761222568123294,0.548695184288405,0.701982205311503,0.761222568123294,0.548695184288405,4,6,5.0
radial,500,0.561437814110395,0.561437814110395,0.548957312860784,0.520539551076643,0.561437814110395,6,6,2.0
s_shaped,1000,0.96247012980775,0.96247012980775,0.96247012980775,0.946765013148889,0.851962926938611,5,5,5.0
s_shaped,1000,0.98527070820464,0.98527070820464,0.945392612692114,0.959170401142204,0.832651472629021,1,1,5.0
cross,500,0.634050106716015,0.630481837145626,0.634050106716015,0.634050106716015,0.559369022066718,4,2,4.0
radial,300,0.616378023710963,0.616378023710963,0.616378023710963,0.597821520092366,0.616378023710963,6,6,6.0
enclave,1000,0.877793081940799,0.877793081940799,0.877793081940799,0.751622443410692,0.877793081940799,6,6,6.0
radial,1000,0.71131987902955,0.71131987902955,0.71131987902955,0.554380567743151,0.71131987902955,6,6,6.0
random,500,0.967441755128078,0.967441755128078,0.967441755128078,0.910017224654029,0.967441755128078,6,6,6.0
s_shaped,500,0.84398471392691,0.757325578134827,0.84398471392691,0.836121859965791,0.757325578134827,2,6,2.0
enclave,500,0.974861562802145,0.974861562802145,0.974861562802145,0.899541219985068,0.974861562802145,6,6,6.0
bump,200,0.841477775243218,0.825521552431377,0.650867519879622,0.643418914754741,0.825521552431377,5,6,2.0
enclave,200,0.839770114942529,0.839770114942529,0.839770114942529,0.637082820197044,0.839770114942529,6,6,6.0
cross,300,0.882600936667437,0.740073061439911,,,0.740073061439911,1,6,2.0
enclave,500,0.914661687400203,0.914661687400203,0.914661687400203,,0.914661687400203,6,6,6.0
cross,200,0.689108881116293,0.689108881116293,0.689108881116293,0.546310561477534,0.689108881116293,6,6,6.0
s_shaped,300,0.618159283607889,0.489463586201929,0.618159283607889,0.441571069026365,0.605853296468056,3,1,3.0
additive,500,0.733718842971074,0.724214605365134,0.733718842971074,0.724214605365134,0.640635015875397,5,4,5.0
radial,500,0.855325725710739,0.855325725710739,0.855325725710739,0.801774488107436,0.855325725710739,6,6,6.0
random,1000,0.953817969720609,0.89762467134726,0.953817969720609,0.720780604432117,0.89762467134726,5,6,5.0
linear,500,0.879030552356207,0.879030552356207,0.879030552356207,0.68717540815498,0.879030552356207,6,6,6.0
enclave,200,0.62880276156264,0.62880276156264,0.62880276156264,0.497184513118224,0.62880276156264,6,6,6.0
bump,300,0.951897421434972,0.760784690220174,0.939833149321557,0.951897421434972,0.760784690220174,4,6,5.0
linear,500,0.896678523841725,0.891086211932666,0.813615611458112,0.843914928436813,0.813615611458112,3,1,6.0
enclave,1000,0.982257746017272,0.982257746017272,0.982257746017272,0.774114774114774,0.982257746017272,6,6,6.0
additive,500,0.663513744613314,0.663513744613314,0.663513744613314,0.548395420029022,0.663513744613314,6,6,6.0
random,500,0.5722577393462,0.561894716014524,0.5722577393462,0.560375322862689,0.561894716014524,5,6,5.0
s_shaped,1000,0.964414601047221,0.958782185233223,0.958782185233223,0.964414601047221,0.840666082208451,4,5,5.0
cross,500,0.913021920511977,0.846861449206017,0.846861449206017,0.911167199976076,0.846861449206017,1,6,6.0
s_shaped,200,0.647494727241635,0.579398390521136,0.644747592632039,0.637316228495196,0.579398390521136,2,6,5.0
s_shaped,300,0.671340692238729,0.671340692238729,0.671340692238729,0.584465652215676,0.671340692238729,6,6,6.0
enclave,500,0.897368922305764,0.83449022556391,0.83449022556391,0.892410025062657,0.83449022556391,3,6,6.0
radial,500,0.594380704618774,0.594380704618774,0.594380704618774,,0.594380704618774,6,6,6.0
random,200,0.984535350888685,0.984535350888685,0.984535350888685,0.562583245993275,0.984535350888685,6,6,6.0
linear,500,0.884130723746618,0.801746736263659,0.860297159525162,0.836717522154742,0.801746736263659,2,6,1.0
enclave,500,0.695324701445632,0.664477686989315,0.664477686989315,0.686860590823381,0.664477686989315,5,6,6.0
enclave,1000,0.917215603972567,0.917215603972567,0.917215603972567,0.810127337280021,0.917215603972567,6,6,6.0
additive,300,0.55470950140809,0.55470950140809,0.553760440668203,0.553760440668203,0.55470950140809,6,6,2.0
bump,200,0.776245,0.776245,0.776245,0.6380255,0.776245,6,6,6.0
enclave,1000,0.862545988368357,0.843180668016194,0.775319709530236,0.848522046301652,0.775319709530236,3,5,6.0
linear,300,0.786173260354651,0.605122911465335,0.567267220408425,0.786173260354651,0.567267220408425,4,5,6.0
additive,1000,0.670181182361703,0.670181182361703,0.665192740702063,0.665192740702063,0.666218537157238,1,1,5.0
linear,300,0.646571380568356,0.641146033346134,0.641146033346134,0.587964129704301,0.641146033346134,2,6,6.0
s_shaped,300,0.600293449592981,0.600293449592981,0.505060855284543,0.505060855284543,0.600293449592981,6,6,4.0
s_shaped,500,0.858946382636415,0.844870436460888,0.858946382636415,0.858946382636415,0.782506946174526,2,5,4.0
bump,300,0.677566601543157,0.677566601543157,0.677566601543157,0.482853810225491,0.677566601543157,6,6,6.0
cross,300,0.596302407943597,0.596302407943597,0.504604864962131,0.507203791856832,0.596302407943597,6,6,3.0
additive,200,0.698307698307698,0.638374638374638,0.666032666032666,0.65979915979916,0.638374638374638,3,6,2.0
linear,500,0.85527528651596,0.85527528651596,0.854891964141843,0.854891964141843,0.681584212322563,5,5,4.0
random,1000,0.565230933523182,,,,0.477944884459079,1,5,2.0
bump,500,0.932180538511008,0.926819632517896,0.926819632517896,0.926819632517896,0.932180538511008,6,5,5.0
s_shaped,500,0.888743874387439,0.888743874387439,0.843372837283728,0.841756175617562,0.73986398639864,5,5,2.0
linear,500,0.778930080197446,0.778930080197446,0.70647164265147,0.705682979385663,0.778930080197446,6,6,3.0
enclave,1000,0.954174292262288,0.933796433694416,0.933796433694416,0.921318795238331,0.933796433694416,3,6,6.0
bump,500,0.971585285673256,0.968690175137675,0.968690175137675,0.971585285673256,0.772151898734177,4,5,5.0
linear,200,0.795660684338314,0.795660684338314,0.718985256939751,0.607619333683763,0.795660684338314,6,6,5.0
radial,300,0.508981245744267,0.492753597688752,0.503954422531147,0.508981245744267,0.492753597688752,4,6,1.0
enclave,1000,0.861288361288361,0.851837851837852,0.818104318104318,0.851837851837852,0.803394803394803,1,4,3.0
linear,500,0.896712070408634,0.896712070408634,0.896712070408634,0.864007276065485,0.896712070408634,6,6,6.0
enclave,500,0.722764256912442,0.722764256912442,0.722764256912442,0.553851946524578,0.722764256912442,6,6,6.0
radial,1000,0.875128010178749,0.875128010178749,0.875128010178749,0.765352493483118,0.875128010178749,6,6,6.0
s_shaped,500,0.693458693458693,0.661814161814162,0.631627631627632,0.642125642125642,0.631627631627632,5,1,6.0
bump,500,0.872913798347848,0.758484387006916,0.758484387006916,0.872913798347848,0.694319928278688,4,5,5.0
radial,1000,0.868088954359661,0.868088954359661,0.841448710983411,0.841448710983411,0.768826594421939,5,5,4.0
cross,500,0.800371849325178,0.623460535594221,0.558413552206497,0.558413552206497,0.623460535594221,5,6,4.0
linear,300,0.839210921092109,0.836845184518452,0.836845184518452,0.839210921092109,0.772428242824282,4,5,5.0
random,200,0.852130250307549,0.835195701840275,0.835195701840275,0.767140167206447,0.835195701840275,2,6,6.0
linear,1000,0.978874239472621,0.933714113708094,0.933714113708094,0.978874239472621,0.904900576420751,4,5,5.0
random,200,0.585208080073337,0.566303882102075,0.566303882102075,0.570199311464956,0.566303882102075,3,6,6.0
linear,300,0.900374970329872,0.878934859921941,0.775985273601147,0.86323047355027,0.878934859921941,2,6,5.0
cross,200,0.75573859497561,0.75573859497561,0.619286806259698,0.644208153614166,0.75573859497561,6,6,5.0
radial,300,0.600083941232615,0.592069755022271,0.600083941232615,0.600083941232615,0.592069755022271,4,6,4.0
random,500,0.869825054287303,0.858617033268548,0.854254848695432,0.855654612593663,0.854254848695432,2,5,6.0
s_shaped,300,0.576027216435463,0.551971831549305,0.551971831549305,,0.551971831549305,1,6,6.0
bump,500,0.724650696706433,0.724650696706433,,,0.724650696706433,6,6,4.0
linear,500,0.887271985447869,0.866351797166174,0.866351797166174,0.849094641851777,0.887271985447869,6,5,5.0
radial,500,0.92594527900241,0.92594527900241,0.856923458814278,0.856923458814278,0.92594527900241,6,6,5.0
cross,500,0.580303622359368,0.506783363412237,0.580303622359368,0.554936632881613,0.580303622359368,6,5,6.0
cross,200,0.711876186811959,0.711876186811959,0.526318266251308,0.503601806229548,0.711876186811959,6,6,2.0
random,300,0.767251599259619,0.563391625597199,0.563391625597199,0.767251599259619,0.563391625597199,4,6,6.0
bump,200,0.781524812030075,0.747105764411028,0.750391979949875,0.781524812030075,0.747105764411028,4,6,5.0
enclave,200,0.846411931282636,0.846411931282636,0.846411931282636,0.619918022907848,0.846411931282636,6,6,6.0
enclave,500,0.980230273434289,0.980230273434289,0.980230273434289,0.894127451947582,0.980230273434289,6,6,6.0
additive,500,0.826349634963496,0.826349634963496,0.826349634963496,0.826349634963496,0.814023402340234,4,4,4.0
bump,200,0.766797326725238,0.766797326725238,0.672150884833922,0.65229255838402,0.766797326725238,6,6,5.0
cross,1000,0.984156827618269,0.978806469324612,0.978806469324612,0.978806469324612,0.844039059619423,2,4,4.0
linear,200,0.867673063920528,0.783346035823021,0.833347336077871,0.733949354073398,0.867673063920528,6,5,1.0
additive,1000,0.683165232660931,0.593470373881495,0.683165232660931,0.683165232660931,0.588554354217417,4,5,4.0
additive,300,0.83123007518797,0.80692030075188,0.822417042606516,0.789481203007519,0.645741353383459,1,5,2.0
random,200,0.801071429757583,0.801071429757583,0.639586993608841,0.639586993608841,0.801071429757583,6,6,3.0
cross,500,0.930813619839869,0.914992521140482,0.930813619839869,0.922101800777966,0.596498846602791,3,1,3.0
s_shaped,1000,0.964628434054945,0.962638402214435,0.864737835805373,0.9613268812301,0.864737835805373,3,5,6.0
cross,1000,0.939231087226126,0.883346424142208,0.855749793303018,0.932700496072757,0.677607482430757,3,1,2.0
enclave,300,0.880296050459019,0.880296050459019,0.880296050459019,0.771024247077472,0.880296050459019,6,6,6.0
random,500,0.916936407474382,0.861009644364075,0.861009644364075,0.916936407474382,0.861009644364075,2,6,6.0
random,1000,0.797057840187228,0.797057840187228,0.797057840187228,0.350008358408559,0.797057840187228,6,6,6.0
additive,200,0.784553772539418,0.784553772539418,0.676604614504443,0.712744197862781,0.784553772539418,6,6,2.0
enclave,500,0.837065405350422,0.837065405350422,0.837065405350422,0.751797884243719,0.837065405350422,6,6,6.0
s_shaped,1000,0.982923581387199,0.976078195789843,0.982923581387199,0.973219694125304,0.939552952366649,1,5,1.0
additive,200,0.674462280642103,0.674462280642103,0.53439773831858,0.524996399870395,0.674462280642103,6,6,5.0
enclave,1000,0.975421638524078,0.975421638524078,0.975421638524078,,0.975421638524078,6,6,6.0
radial,300,0.710869207412242,0.710869207412242,0.710869207412242,0.63891256846108,0.710869207412242,6,6,6.0
enclave,500,0.840847527868537,0.840847527868537,0.749797792939971,0.749797792939971,0.682049418604651,5,5,4.0
enclave,500,0.742491311102569,0.742491311102569,0.742491311102569,0.652033682490871,0.742491311102569,6,6,6.0
cross,1000,0.731702523623879,0.624690162198585,0.729554715951934,0.73066922959683,0.624690162198585,3,6,2.0
cross,500,0.968574066532578,0.968574066532578,0.700139166513822,0.945526620388361,0.700139166513822,5,5,6.0
bump,1000,0.990535900567196,0.964896567519911,0.964896567519911,0.944332092123569,0.810721011851003,2,5,5.0
s_shaped,300,0.893491156821959,0.746034652331083,0.746034652331083,0.86213857130422,0.746034652331083,2,6,6.0
cross,300,0.851240190835567,0.763703788270262,0.79193004698785,0.850071503250694,0.763703788270262,3,6,5.0
cross,200,0.651352283807095,0.564334108352709,0.564334108352709,0.544282607065177,0.564334108352709,5,6,6.0
