family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
cross,200,0.712876589797344,0.712876589797344,0.712876589797344,0.595850174703005,0.712876589797344,6,6,6.0
linear,300,0.872837699853688,0.872837699853688,0.872837699853688,0.78628568914082,0.872837699853688,6,6,6.0
random,500,0.685934216057167,0.685934216057167,0.582351303068516,0.581583648591845,0.685934216057167,6,6,5.0
cross,1000,0.661462107581312,0.661462107581312,0.64426007948824,0.64426007948824,0.661462107581312,6,6,5.0
bump,1000,0.909440316721081,0.909440316721081,0.890877064528519,0.909440316721081,0.757920027527047,4,4,5.0
linear,1000,0.98329939858415,0.98329939858415,0.974651042667692,0.98329939858415,0.893293732782369,4,4,2.0
s_shaped,200,0.589145356581426,0.589145356581426,0.589145356581426,0.561634746538986,0.589145356581426,6,6,6.0
radial,200,0.606696892718951,0.606696892718951,0.606696892718951,0.520303822355335,0.606696892718951,6,6,6.0
enclave,500,0.690311389245065,0.688338493292054,0.688338493292054,0.690311389245065,0.688338493292054,4,6,6.0
enclave,500,0.937139193103646,0.937139193103646,0.937139193103646,,0.937139193103646,6,6,6.0
bump,300,0.929124588221638,0.816054652945391,,,0.816054652945391,1,6,4.0
enclave,200,0.658280698105132,0.658280698105132,0.587797160697785,0.644805713005668,0.658280698105132,6,6,5.0
cross,500,0.949722243793844,0.949722243793844,0.790160234008957,0.949722243793844,0.790160234008957,4,4,6.0
cross,300,0.819102462504769,0.819102462504769,0.723596607085204,0.736565407531332,0.819102462504769,6,6,5.0
cross,500,0.786796787259643,0.55158087303424,0.639844572614765,0.639844572614765,0.55158087303424,3,6,4.0
enclave,300,0.671267099397011,0.6700036884983,0.6700036884983,0.671267099397011,0.6700036884983,2,6,6.0
enclave,500,0.826783278357016,0.826783278357016,0.826783278357016,0.778488632502788,0.826783278357016,6,6,6.0
additive,300,0.871855711671474,0.801624559391918,0.871855711671474,0.871855711671474,0.799118733810186,4,5,4.0
cross,200,0.577230176211454,0.53818318245631,0.577230176211454,0.53197009488309,0.53818318245631,1,6,1.0
additive,300,0.766937819812683,0.619343391304696,0.729343951414477,0.766937819812683,0.619343391304696,4,6,5.0
s_shaped,300,0.766158636610972,0.760863781127969,0.760863781127969,0.766158636610972,0.760863781127969,4,6,6.0
additive,300,0.897363032617572,0.841699392323582,0.882603961505821,0.892514731549535,0.873983202831019,1,5,2.0
random,200,0.491938048245614,0.48531524122807,0.48531524122807,0.480538651315789,0.48531524122807,5,6,6.0
s_shaped,500,0.794000744503284,0.611079089464478,0.663216334241948,0.544785274845796,0.663216334241948,3,5,6.0
enclave,1000,0.936944710866304,0.936944710866304,0.936944710866304,0.878979164975431,0.936944710866304,6,6,6.0
linear,500,0.951106959402154,0.844655630410779,0.74765816277544,0.822668464258853,0.844655630410779,2,6,5.0
random,500,0.837436546916669,0.837436546916669,0.837436546916669,0.612158794880507,0.837436546916669,6,6,6.0
additive,1000,0.912116829697971,0.907281475123663,0.882726627199971,0.907281475123663,0.882726627199971,3,4,6.0
linear,500,0.874793746091307,0.835381113195747,0.766738211382114,0.766738211382114,0.539956472795497,3,5,4.0
additive,300,0.749389161208303,0.628626056372625,0.737570420664147,0.737570420664147,0.628626056372625,1,6,4.0
cross,300,0.549259263795166,0.523077331308505,0.523077331308505,0.50227844251487,0.523077331308505,5,6,6.0
s_shaped,1000,0.966294934333959,0.961422388993121,0.937399874921826,0.937399874921826,0.780250656660413,1,5,4.0
additive,1000,0.836526534597209,0.831463894301754,0.806753388097744,0.825894089685058,0.827941252965961,5,3,2.0
s_shaped,200,0.53636623673809,0.53636623673809,0.53636623673809,,0.53636623673809,6,6,6.0
radial,300,0.921907121196931,0.921907121196931,0.921907121196931,0.733300885365967,0.921907121196931,6,6,6.0
radial,500,0.879554953610882,0.879554953610882,0.879554953610882,0.740813789932241,0.879554953610882,6,6,6.0
additive,200,0.638160217386304,0.605534269646627,0.638160217386304,0.638160217386304,0.605534269646627,2,6,4.0
enclave,300,0.816397510160877,0.816397510160877,0.816397510160877,0.619801133821138,0.816397510160877,6,6,6.0
radial,500,0.737741912408779,0.737741912408779,0.737741912408779,0.599074932617466,0.737741912408779,6,6,6.0
bump,300,0.618440065484267,0.618440065484267,0.521417978553502,0.521417978553502,0.618440065484267,6,6,5.0
radial,500,0.896087949217222,0.896087949217222,0.896087949217222,0.78570779187899,0.896087949217222,6,6,6.0
enclave,500,0.564010691064224,0.450379584179281,0.450379584179281,0.564010691064224,0.450379584179281,4,6,6.0
s_shaped,1000,0.965469248145597,0.953107226966148,0.804909162274308,0.953107226966148,0.804909162274308,1,2,6.0
s_shaped,1000,0.736072608646953,0.682721694188428,0.682721694188428,0.736072608646953,0.582435275857655,4,5,5.0
radial,500,0.641027884120035,0.641027884120035,0.641027884120035,0.573371297171875,0.641027884120035,6,6,6.0
s_shaped,500,0.71532550687299,0.693041297946904,0.703762841849226,0.71532550687299,0.704148397369221,4,5,3.0
radial,500,0.764395821569735,0.764395821569735,0.764395821569735,0.671176595143986,0.764395821569735,6,6,6.0
cross,500,0.85656964168204,0.601082663726453,0.85656964168204,0.759301350301156,0.601082663726453,3,6,3.0
bump,500,0.972800180865292,0.906255158112078,0.972800180865292,0.967795374130061,0.906255158112078,2,6,2.0
linear,1000,0.890501390501391,0.890501390501391,0.789396789396789,0.863153863153863,0.867171867171867,5,5,3.0
radial,1000,0.689015550450288,0.649188098785104,0.637190114213683,0.689015550450288,0.637190114213683,4,5,6.0
bump,500,0.904329605440459,0.860524109077685,0.904329605440459,0.904329605440459,0.860524109077685,1,6,4.0
radial,300,0.580717833800187,0.580717833800187,0.505157796451914,,0.580717833800187,6,6,1.0
linear,500,0.846814800572026,0.846814800572026,0.694736699794503,0.694188908784285,0.846814800572026,6,6,2.0
enclave,500,0.91111245010168,0.91111245010168,0.91111245010168,0.887006602897241,0.91111245010168,6,6,6.0
additive,200,0.644754971857411,0.528313195747342,0.528313195747342,0.570998874296435,0.528313195747342,5,6,6.0
radial,300,0.563968744755618,0.563968744755618,0.563968744755618,0.481693611135126,0.563968744755618,6,6,6.0
linear,200,0.744206280708737,0.744206280708737,0.744206280708737,0.664837351825498,0.744206280708737,6,6,6.0
