family,n_train,b0,censoring,corr,overlap,prognostic_form,auc_K1,auc_K2,auc_K3,auc_K4,auc_K5,optimal_K,oracle_rate,feat_c_index,feat_score_skew,feat_score_kurt,feat_score_var,feat_score_q90_q10,feat_delta_c_index,feat_prop_interact_sig,feat_trt_main_p.trt01p,feat_te_bin_var,feat_te_slope,feat_te_quadratic_p,feat_te_max_diff,feat_te_bin_event_rate_range,feat_censoring_rate,feat_event_rate,feat_event_count_trt,feat_event_count_ctrl,feat_median_followup,feat_mean_followup,feat_n,feat_p,feat_e_per_p,feat_bootstrap_ci_sd,feat_bootstrap_ci_mean,feat_orig_pred_var,feat_orig_pred_mean,feat_orig_ambiguity,feat_K1_pred_var,feat_K1_pred_mean,feat_K1_ambiguity,feat_K2_pred_var,feat_K2_pred_mean,feat_K2_ambiguity,feat_K3_pred_var,feat_K3_pred_mean,feat_K3_ambiguity,feat_K4_pred_var,feat_K4_pred_mean,feat_K4_ambiguity,feat_K5_pred_var,feat_K5_pred_mean,feat_K5_ambiguity
bump,500,0.97,0.55,low,none,quadratic,0.975919475919476,0.974344974344974,0.972688972688973,0.971063971063971,0.975184475184475,1,0.4995,0.606470358160586,0.186632832122671,3.03090117926181,0.196770217535801,-1.01564879120377,0.0421951537501629,,2.71997784387569e-07,1.66587325248783,-2.72344447307479,0.0306104782426552,3.07000656941377,0.128,0.138,0.862,223,208,1.54574197767505,2.1920898241568,500,52,8.28846153846154,0.0148621869073192,0.655232400033732,0.0658404177039797,0.662313710522114,0.058,0.0630289593903103,0.658746220832471,0.059,0.0613325965972187,0.658792563847509,0.1795,0.0631484223070939,0.654799863108894,0.0665,0.0655249357934866,0.653513362474181,0.072,0.0693364385883136,0.648745821299195,0.03
bump,500,0.65,0.56,moderate,complete,linear,0.961713788568863,0.954764778048624,0.982343820161652,0.958448765956764,0.967115233497979,3,0.476,0.703724479433639,0.0197868784153595,2.83281762821775,0.658654165261686,-1.03778007706061,0.0502335657707671,,5.1449326395343e-09,2.39744508160254,-0.561754416144379,0.305639181360342,3.55301838293188,0.152,0.168,0.832,199,217,1.57381411054045,2.18248461862476,500,52,8,0.013349127825505,0.721725497344981,0.070000304731865,0.648713351361624,0.066,0.072171071345468,0.647586296050104,0.052,0.0711949675851866,0.636255659064917,0.056,0.0620398150400327,0.649065175631943,0.2755,0.0594975721407179,0.643404329344654,0.3355,0.0629159629262867,0.641007608978249,0.2805
cross,500,1.21,0.68,moderate,none,mixed,0.966394045325523,0.966344751662634,0.968205073961033,0.949332789733773,0.968235369024684,5,0.581,0.654188481675393,0.124833968021949,2.74459318634861,0.305729445681095,-1.0652742793904,0.0501934896426133,,1.30971008262849e-07,3.80818485295742,-3.16017025741482,0.683599092886236,4.14246052047517,0.208,0.26,0.74,180,190,2.12378396035051,2.90839030440814,500,52,7.11538461538462,0.0146820139207499,0.686418899646669,0.0853318696971016,0.664512337945568,0.084,0.0888336766527332,0.641287104645935,0.0785,0.0864773617628693,0.647231488938792,0.074,0.0838819363479448,0.648456560013415,0.0385,0.0883955426891389,0.649395226938201,0.038,0.0849505947738532,0.653430379776951,0.004
cross,500,1.98,0.15,moderate,none,mixed,0.79641497014192,0.95174394468658,0.958834272976094,0.988270003162474,0.976318530139818,4,0.5855,0.781365034194703,0.270849449917561,2.87417370635208,1.67006931022035,-1.05941495915983,0.0298434846468078,,2.57713748648441e-13,4.78431249735627,-0.626220496406116,0.604908502558114,4.82400273515732,0.456,0.188,0.812,170,236,7.43576572160778,10.5614440123727,500,52,7.80769230769231,0.00945155925952077,0.796727113292882,0.0953066219422086,0.656626767925428,0.058,0.07611553823137,0.669620151319562,0.107,0.131441592120642,0.636093746326789,0.051,0.147743777904437,0.652866748850419,0.0175,0.149999294253067,0.61624478505827,0.0115,0.154153849933011,0.627531068415981,0.0165
cross,1000,0.06,0.23,moderate,none,linear,0.982348373068261,0.967692785586705,0.983775206440423,0.984478268747897,0.988935828738578,5,0.5925,0.707308583736681,-0.0957921145494344,2.93665379199772,0.655899047119573,-0.930610551840095,0.028932540560019,,4.97734050810394e-30,0.824482923855971,-0.971116730493384,0.341260130977227,1.93449135785782,0.0520000000000001,0.022,0.978,496,482,1.1527490217246,1.74776060099598,1000,52,18.8076923076923,0.00949930849680245,0.71422783713723,0.0357808778924208,0.673171000227035,0.372,0.0353365311358401,0.683404635115055,0.3475,0.0351275934454598,0.683724947981524,0.392,0.0363106679784178,0.687964413561486,0.2805,0.0373086171083381,0.685922586876229,0.3415,0.0363591282632325,0.686939512797073,0.3265
cross,300,1.07,0.15,high,none,mixed,0.881198495216091,0.895630202316419,0.863071181018395,0.902127432684618,0.896187683284458,4,0.6975,0.742911681176964,0.220665563907169,3.10489045411656,1.25965986298391,-1.09813600302576,0.077308068345826,,2.35581324102094e-19,10.1637087051712,-2.59093318656784,0.128596467112719,7.52745022805683,0.0666666666666668,0.0533333333333333,0.946666666666667,123,161,3.5775836051231,4.97990475007808,300,52,5.46153846153846,0.0127486155490129,0.770017964837051,0.0883531346941283,0.726665517811473,0.0133333333333333,0.0851815547822554,0.732355692934956,0.0185,0.0999119530772815,0.708358369394317,0.032,0.0783541597798955,0.748617042920154,0.0165,0.0870026636957579,0.733570587902568,0.048,0.0954539026122473,0.721125692948697,0.043
cross,200,1.5,0.22,high,complete,linear,0.541655447031081,0.904869146992963,0.840482426845062,0.891636971059752,0.90420412859276,2,0.6885,0.791940331737727,-0.132256477744732,2.99900206063881,2.43441682688358,-1.04093453601574,0.0798730936212847,,1.77107252208908e-08,38.5225038769772,-3.52162853869139,0.362435987266175,13.2347254993122,0.32,0.125,0.875,70,105,5.12482379822573,7.8036771099676,200,52,3.36538461538462,0.0169562226151685,0.831742489961325,0.0942792094669541,0.775288310739706,0.025,0.060093434170856,0.777669716854948,0.086,0.0556048628983085,0.752698163151543,0.129,0.0574653757684769,0.742384350747504,0.1325,0.0575662175785496,0.745680658053045,0.155,0.0612099620414748,0.742719701546714,0.1175
cross,300,1.18,0.06,moderate,none,quadratic,0.98819550633848,0.987739234449761,0.989869017083477,0.986051850573012,0.990424456173235,5,0.582,0.646580247473145,-0.0886796669352493,3.19436689446782,0.33860100639189,-1.00321164167554,0.0775959751620361,,6.04981191310642e-09,8.58197093876486,-4.6961153708683,0.462887760892657,6.73674850727637,0.0533333333333333,0.0133333333333333,0.986666666666667,145,151,2.82810026361201,3.93984665144175,300,52,5.69230769230769,0.0130900634936235,0.695986191359751,0.0888634328545804,0.686772971847191,0.12,0.0823069784641317,0.702890162194054,0.131,0.0770542511755671,0.697910568358717,0.134,0.0801100848581368,0.69939709565333,0.136,0.0823180860029897,0.699789101707085,0.133,0.0755068744325168,0.700483270390352,0.051
cross,200,0.68,0.51,low,complete,quadratic,0.929878601286576,0.903578884133063,0.947810067332482,0.874528797777277,0.931593201672048,3,0.5175,0.696721761572676,0.151609326151976,3.05420477239304,0.905501862506125,-0.968468496075007,0.0974685629564549,,2.01073716048865e-05,1.56950234734584,-1.18635508853044,0.220647718728435,2.91583336346669,0.08,0.085,0.915,93,90,1.24744078927881,1.8715219416883,200,52,3.51923076923077,0.024543776195552,0.762754647927995,0.0512584547126934,0.660629153587353,0.365,0.0459592923750728,0.668749950862761,0.377,0.0420141943361388,0.669768563226347,0.3115,0.0428849108933561,0.671334356270171,0.3495,0.0492989989507209,0.660230358243481,0.3305,0.0436927815812189,0.680783711067933,0.2445
cross,500,0.07,0.54,low,complete,linear,0.633408699817898,0.709784914876963,0.946491800387055,0.936082806920487,0.950989235220602,5,0.5235,0.828752528658125,-0.129191654728591,3.20640777193216,3.52174714762878,-1.0199969816496,0.0208496291301417,,7.56556506572367e-10,3.16452594933054,-0.832456962108785,0.00895752679003074,3.95533977295381,0.192,0.118,0.882,230,211,0.924421140550434,2.03952509427392,500,52,8.48076923076923,0.00815612283867313,0.837801240596264,0.023916967784182,0.711767494838373,0.164,0.0213607005463804,0.711562182868191,0.189,0.00430183657260597,0.720327449545314,0.0235,0.0245094280196604,0.700483651008945,0.2995,0.0253210815861108,0.69932805483284,0.3815,0.0210559695479339,0.707636675386947,0.1285
cross,500,0.76,0.06,moderate,none,quadratic,0.981155016143947,0.955987894374683,0.981025802293468,0.993113783952366,0.981693147722048,4,0.5955,0.598818164300854,0.00986670767490839,3.24851871224998,0.103506517921353,-1.12081227297098,0.0655629777121202,,1.3142386353819e-10,1.70121436823745,-3.76887992776701,0.519582220420103,2.95609554535132,0.00800000000000001,0.002,0.998,245,254,1.64172967349928,2.40313388048733,500,52,9.59615384615385,0.0119463253783,0.636460479078898,0.0605878780556411,0.676748854737805,0,0.0619239511070531,0.678940965189609,5e-04,0.061500423061036,0.667843451768523,0.0315,0.0637138635860284,0.673963740928367,0.015,0.0569426240032159,0.674190175173058,0.0435,0.0534133799410809,0.679996765640282,0.1895
